id,title,budget,revenue,profit,roi,vote_average,main_genre,lead_actor,director,is_hit
19995,Avatar,237000000,2787965087,2550965087,10.763565767932489,7.2,Action,Sam Worthington,James Cameron,1
285,Pirates of the Caribbean: At World's End,300000000,961000000,661000000,2.203333333333333,6.9,Adventure,Johnny Depp,Gore Verbinski,1
206647,Spectre,245000000,880674609,635674609,2.5945902408163266,6.3,Action,Daniel Craig,Sam Mendes,1
49026,The Dark Knight Rises,250000000,1084939099,834939099,3.339756396,7.6,Action,Christian Bale,Christopher Nolan,1
49529,John Carter,260000000,284139100,24139100,0.0928426923076923,6.1,Action,Taylor Kitsch,Andrew Stanton,0
559,Spider-Man 3,258000000,890871626,632871626,2.4529907984496124,5.9,Fantasy,Tobey Maguire,Sam Raimi,1
38757,Tangled,260000000,591794936,331794936,1.2761343692307692,7.4,Animation,Zachary Levi,Byron Howard,1
99861,Avengers: Age of Ultron,280000000,1405403694,1125403694,4.019298907142857,7.3,Action,Robert Downey Jr.,Joss Whedon,1
767,Harry Potter and the Half-Blood Prince,250000000,933959197,683959197,2.735836788,7.4,Adventure,Daniel Radcliffe,David Yates,1
209112,Batman v Superman: Dawn of Justice,250000000,873260194,623260194,2.493040776,5.7,Action,Ben Affleck,Zack Snyder,1
1452,Superman Returns,270000000,391081192,121081192,0.44844885925925926,5.4,Adventure,Brandon Routh,Bryan Singer,0
10764,Quantum of Solace,200000000,586090727,386090727,1.930453635,6.1,Adventure,Daniel Craig,Marc Forster,1
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,865659812,4.32829906,7.0,Adventure,Johnny Depp,Gore Verbinski,1
57201,The Lone Ranger,255000000,89289910,-165710090,-0.6498434901960785,5.9,Action,Johnny Depp,Gore Verbinski,0
49521,Man of Steel,225000000,662845518,437845518,1.94598008,6.5,Action,Henry Cavill,Zack Snyder,1
2454,The Chronicles of Narnia: Prince Caspian,225000000,419651413,194651413,0.8651173911111111,6.3,Adventure,Ben Barnes,Andrew Adamson,0
24428,The Avengers,220000000,1519557910,1299557910,5.907081409090909,7.4,Science Fiction,Robert Downey Jr.,Joss Whedon,1
1865,Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,665713802,1.7518784263157894,6.4,Adventure,Johnny Depp,Rob Marshall,1
41154,Men in Black 3,225000000,624026776,399026776,1.7734523377777778,6.2,Action,Will Smith,Barry Sonnenfeld,1
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,706019788,2.824079152,7.1,Action,Martin Freeman,Peter Jackson,1
1930,The Amazing Spider-Man,215000000,752215857,537215857,2.4986784046511628,6.5,Action,Andrew Garfield,Marc Webb,1
20662,Robin Hood,200000000,310669540,110669540,0.5533477,6.2,Action,Russell Crowe,Ridley Scott,0
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,708400000,2.8336,7.6,Adventure,Martin Freeman,Peter Jackson,1
2268,The Golden Compass,180000000,372234864,192234864,1.0679714666666666,5.8,Adventure,Dakota Blue Richards,Chris Weitz,1
254,King Kong,207000000,550000000,343000000,1.6570048309178744,6.6,Adventure,Naomi Watts,Peter Jackson,1
597,Titanic,200000000,1845034188,1645034188,8.22517094,7.5,Drama,Kate Winslet,James Cameron,1
271110,Captain America: Civil War,250000000,1153304495,903304495,3.61321798,7.1,Adventure,Chris Evans,Anthony Russo,1
44833,Battleship,209000000,303025485,94025485,0.4498827033492823,5.5,Thriller,Taylor Kitsch,Peter Berg,0
135397,Jurassic World,150000000,1513528810,1363528810,9.090192066666667,6.5,Action,Chris Pratt,Colin Trevorrow,1
37724,Skyfall,200000000,1108561013,908561013,4.542805065,6.9,Action,Daniel Craig,Sam Mendes,1
558,Spider-Man 2,200000000,783766341,583766341,2.918831705,6.7,Action,Tobey Maguire,Sam Raimi,1
68721,Iron Man 3,200000000,1215439994,1015439994,5.07719997,6.8,Action,Robert Downey Jr.,Shane Black,1
12155,Alice in Wonderland,200000000,1025491110,825491110,4.12745555,6.4,Family,Mia Wasikowska,Tim Burton,1
36668,X-Men: The Last Stand,210000000,459359555,249359555,1.1874264523809523,6.3,Adventure,Hugh Jackman,Brett Ratner,1
62211,Monsters University,200000000,743559607,543559607,2.717798035,7.0,Animation,Billy Crystal,Dan Scanlon,1
8373,Transformers: Revenge of the Fallen,150000000,836297228,686297228,4.575314853333333,6.0,Science Fiction,Shia LaBeouf,Michael Bay,1
91314,Transformers: Age of Extinction,210000000,1091405097,881405097,4.1971671285714285,5.8,Science Fiction,Mark Wahlberg,Michael Bay,1
68728,Oz: The Great and Powerful,200000000,491868548,291868548,1.45934274,5.7,Fantasy,James Franco,Sam Raimi,1
102382,The Amazing Spider-Man 2,200000000,705717432,505717432,2.52858716,6.5,Action,Andrew Garfield,Marc Webb,1
20526,TRON: Legacy,170000000,400062763,230062763,1.3533103705882352,6.3,Adventure,Garrett Hedlund,Joseph Kosinski,1
49013,Cars 2,200000000,559852396,359852396,1.79926198,5.8,Animation,Owen Wilson,John Lasseter,1
44912,Green Lantern,200000000,219851172,19851172,0.09925586,5.1,Adventure,Ryan Reynolds,Martin Campbell,0
10193,Toy Story 3,200000000,1066969703,866969703,4.334848515,7.6,Animation,Tom Hanks,Lee Unkrich,1
534,Terminator Salvation,200000000,371353001,171353001,0.856765005,5.9,Action,Christian Bale,McG,0
168259,Furious 7,190000000,1506249360,1316249360,6.927628210526316,7.3,Action,Vin Diesel,James Wan,1
72190,World War Z,200000000,531865000,331865000,1.659325,6.7,Action,Brad Pitt,Marc Forster,1
127585,X-Men: Days of Future Past,250000000,747862775,497862775,1.9914511,7.5,Action,Hugh Jackman,Bryan Singer,1
54138,Star Trek Into Darkness,190000000,467365246,277365246,1.4598170842105263,7.4,Action,Chris Pine,J.J. Abrams,1
81005,Jack the Giant Slayer,195000000,197687603,2687603,0.013782579487179487,5.5,Action,Nicholas Hoult,Bryan Singer,0
